CÓDIGO,MUNICIPIO,ORGÁNICO,# Cont.,PAPEL,# Cont.,VIDRIO,# Cont.,VOLUMINOSO,ENVASES,# Cont.,,TOTAL,HABITANTES
1,ABADIÑO,2176740,,353613,,149669,,38709,107546,,,,7385
2,ABANTO-ZIERBENA,2954800,,178339,,145110,,80430,115089,,,,9708
911,AJANGIZ,149330,,10510,,8230,,4557,3834,,,,457
912,ALONSOTEGI,750244,,92449,,68350,,14630,40148,,,,2845
3,AMOREBIETA-ETXANO,6044500,,511240,,355500,,96560,271023,,,,18513
4,AMOROTO,152572,,9551,,16070,,1300,5073,,,,405
5,ARAKALDO,33446,,6690,,4230,,1090,4112,,,,126
6,ARANTZAZU,110863,,13878,,9261,,2141,8426,,,,360
8,ARTZENTALES,235711,,14545,,7650,,2232,8919,,,,760
93,AREATZA,378742,,47476,,41030,,7328,19740,,,,1226
9,ARRANKUDIAGA,380721,,38560,,36180,,11162,25801,,,,961
914,ARRATZU,104799,,14335,,16370,,1088,12773,,,,388
10,ARRIETA,188777,,9572,,18100,,1112,12056,,,,551
11,ARRIGORRIAGA,3487750,,399470,,214750,,75340,163272,,,,12525
23,ARTEA,251782,,31563,,19249,,4872,16600,,,,783
91,ATXONDO,426053,,69108,,36142,,7577,17019,,,,1415
70,AULESTI,251058,,11844,,15260,,1640,15063,,,,669
12,BAKIO,1176940,,161588,,144040,,16280,55393,,,,2604
90,BALMASEDA,2203001,,166540,,129910,,65028,71572,,,,7737
13,BARAKALDO,28835120,,2126670,,1800620,,208534,944766,,,,100369
14,BARRIKA,577190,,46402,,60340,,15574,21322,,,,1510
15,BASAURI,11484160,,1098710,,818155,,327600,499818,,,,41971
92,BEDIA,315825,,39617,,13600,,6117,17808,,,,987
16,BERANGO,2391500,,209507,,149040,,40320,82551,,,,6883
17,BERMEO,5021198,,540800,,501370,,98550,254793,,,,17144
18,BERRIATUA,358919,,40205,,36000,,2037,16533,,,,1254
19,BERRIZ,1353880,,237030,,85797,,24470,87133,,,,4855
20,BILBAO,97776130,,10599620,,6608479,,637140,4610560,,,,351629
21,BUSTURIA,545930,,43493,,46230,,9830,22769,,,,1745
901,DERIO,2387063,,295234,,123490,,33170,101081,,,,5627
26,DIMA,435531,,54595,,29076,,8427,30919,,,,1365
27,DURANGO,7294748,,1053060,,592484,,128490,399383,,,,28618
28,EA,343894,,22520,,36680,,11392,9027,,,,886
31,ELANTXOBE,174823,,7120,,10160,,5487,1698,,,,402
32,ELORRIO,2158721,,350566,,186726,,38389,137080,,,,7283
902,ERANDIO,8346880,,342350,,325810,,191435,293349,,,,24326
33,EREÑO,91093,,7060,,14290,,1878,3400,,,,260
34,ERMUA,4724097,,478763,,319484,,99629,154440,,,,16278
79,ERRIGOITI,179360,,3690,,6590,,5971,2839,,,,537
29,"ETXEBARRI,ANTEIGLESIA",2808910,,307870,,141369,,69309,137675,,,,10337
30,ETXEBARRIA,230081,,25096,,18849,,1306,12571,,,,805
906,FORUA,315955,,22579,,32930,,8393,11010,,,,969
35,FRUIZ,157551,,13801,,12020,,923,11838,,,,537
36,GALDAKAO,8521600,,589131,,628440,,207700,336932,,,,29130
37,GALDAMES,270317,,16783,,26990,,2556,13660,,,,843
38,GAMIZ-FIKA,455938,,22310,,20170,,2679,14588,,,,1349
39,GARAY,98571,,16394,,12965,,1751,4463,,,,342
40,GATIKA,540973,,19004,,29120,,3177,28085,,,,1623
41,GAUTEGIZ,326821,,8740,,19050,,11099,8259,,,,910
46,GERNIKA-LUMO,5224319,,586570,,510990,,92820,213658,,,,16812
44,GETXO,23086360,,2627840,,1600160,,309320,976000,,,,80026
47,GIZABURUAGA,74849,,5519,,4920,,1014,2650,,,,204
42,GORDEXOLA,577435,,58083,,49140,,5289,26084,,,,1733
43,GORLIZ,2120640,,170222,,200966,,52040,105276,,,,5532
45,GÜEÑES,2062454,,140053,,96490,,19325,66868,,,,6483
48,IBARRANGELU,244590,,15420,,31020,,7927,9734,,,,641
94,IGORRE,1388641,,174174,,72521,,26890,87601,,,,4235
49,ISPASTER,190163,,14257,,18710,,1084,7821,,,,704
910,IURRETA,1143222,,187013,,88469,,20323,52705,,,,3884
50,IZURTZA,81289,,13346,,8715,,1445,3480,,,,276
22,KARRANTZA,894066,,27649,,17190,,8421,23705,,,,2806
907,KORTEZUBI,115853,,15847,,8150,,1505,6086,,,,423
51,LANESTOSA,86029,,7510,,24550,,802,4407,,,,264
52,LARRABETZU,848005,,104881,,57000,,11786,29724,,,,1974
53,LAUKIZ,385308,,21996,,31230,,2260,12052,,,,1149
54,LEIOA,8012180,,921870,,527140,,113680,449302,,,,30626
57,LEKEITIO,2096638,,357109,,352270,,11922,180946,,,,7419
55,LEMOA,1069944,,134422,,63893,,20747,59153,,,,3451
56,LEMOIZ,477360,,31908,,42130,,12399,22360,,,,1083
81,LEZAMA,1105824,,136768,,65700,,15370,30093,,,,2476
903,LOIU,1104112,,136553,,65920,,15352,40518,,,,2498
58,MALLABIA,347723,,30324,,35753,,7326,10706,,,,1198
59,MAÑARIA,155184,,24809,,10967,,2733,6822,,,,507
60,MARKINA-XEMEIN,1432256,,164843,,138481,,12770,82217,,,,4969
61,MARURI-JATABE,310733,,27738,,26190,,1823,17528,,,,961
62,MENDATA,105377,,14489,,14880,,1376,15220,,,,378
63,MENDEXA,160225,,8141,,16190,,1300,5259,,,,439
64,MEÑAKA,244840,,11840,,16900,,1435,6049,,,,754
66,MORGA,144980,,4820,,14100,,4282,4634,,,,406
68,MUNDAKA,817375,,50880,,83600,,29190,29994,,,,1940
69,MUNGIA,4793740,,440220,,327560,,48360,322680,,,,16912
7,MUNITIBAR-ARBATZEGI,155185,,9863,,15022,,1300,3733,,,,438
908,MURUETA,107695,,2000,,12550,,2216,4459,,,,302
71,MUSKIZ,2884878,,143060,,107300,,67160,68214,,,,7541
67,MUXIKA,401836,,55073,,47870,,5146,24190,,,,1468
909,NABARNIZ,82172,,4060,,8370,,1692,5446,,,,227
73,ONDARROA,2420987,,319518,,247189,,24866,131401,,,,8838
74,ORDUÑA,1231160,,87100,,95660,,20200,50159,,,,4237
75,OROZKO,1055390,,68070,,48145,,11800,50306,,,,2549
83,ORTUELLA,2409000,,118959,,104730,,38192,107315,,,,8416
72,OTXANDIO,355833,,49557,,59075,,10652,21911,,,,1302
77,PLENTZIA,1214800,,132914,,106900,,27738,53967,,,,4314
78,PORTUGALETE,13571000,,1270886,,957610,,208260,555502,,,,47756
82,SANTURTZI,12081400,,1167790,,797490,,110399,510834,,,,47129
84,SESTAO,7189760,,642280,,414710,,234340,255733,,,,28831
904,SONDIKA,1993830,,246595,,94600,,27714,57456,,,,4548
85,SOPELANA,3832960,,389672,,223330,,48970,183769,,,,12912
86,SOPUERTA,823611,,33885,,40210,,7790,27404,,,,2604
76,SUKARRIETA,152428,,13834,,24450,,4484,4747,,,,357
87,TRUCIOS-TURTZIOZ,172873,,6523,,14150,,1621,5843,,,,538
88,UBIDE,57316,,7173,,21825,,1106,3256,,,,184
65,UGAO-MIRABALLES,1054880,,179760,,99240,,40375,64920,,,,4059
89,URDULIZ,1142074,,108076,,91370,,19680,45090,,,,3631
80,VALLE,4034000,,248005,,237020,,49335,167783,,,,12189
95,ZALDIBAR,904961,,149445,,54971,,16093,51099,,,,3062
96,ZALLA,2633261,,192619,,190580,,24868,111339,,,,8442
905,ZAMUDIO,1427968,,176610,,90575,,19848,64989,,,,3281
97,ZARATAMO,590595,,26150,,23300,,8180,18512,,,,1663
24,ZEANURI,423945,,53190,,32963,,8213,19843,,,,1312
25,ZEBERIO,133115,,33580,,26746,,3974,13269,,,,1075
913,ZIERBENA,772640,,57980,,58560,,16760,27451,,,,1461
915,ZIORTZA-BOLIBAR,114721,,7089,,24874,,657,8667,,,,418
,,,,,,,,38710,,,,,
