Revisión del Padrón municipal 2011. Datos por municipios. ,,,,,,,,,,,,,,,,,,,,,
  48.- Bizkaia,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Población por sexo, municipios y edad (grupos quinquenales).",,,,,,,,,,,,,,,,,,,,,
Unidades:personas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 y más
Ambos sexos,,,,,,,,,,,,,,,,,,,,,
   48052-Larrabetzu,127,122,80,60,78,101,169,181,178,131,144,113,95,73,55,85,68,48,19,4,0
   48053-Laukiz,57,74,62,50,42,54,79,102,94,95,90,81,63,55,51,42,29,16,1,1,0
   48054-Leioa,1574,1634,1462,1262,1505,1873,2745,2691,2489,2429,2333,2135,2107,1410,928,783,595,333,126,35,5
   48055-Lemoa,206,162,112,105,133,243,379,387,274,215,226,154,157,120,117,142,129,61,19,5,0
   48056-Lemoiz,56,62,47,31,43,41,84,99,85,91,101,50,54,50,40,41,39,23,3,2,0
   48057-Lekeitio,340,374,291,275,312,384,491,540,608,627,578,464,426,430,344,414,292,147,62,9,1
   48058-Mallabia,63,50,38,50,43,59,106,120,103,106,68,85,79,74,42,49,31,17,3,2,0
   48059-Mañaria,26,17,12,23,23,35,49,44,36,40,45,42,28,30,19,11,19,10,4,0,0
   48060-Markina-Xemein,265,222,181,193,247,340,427,394,358,389,393,346,271,220,201,203,168,104,36,8,1
   48061-Maruri-Jatabe,48,56,36,31,42,31,59,84,81,89,82,61,49,47,32,40,31,12,4,1,0
   48062-Mendata,18,27,12,8,13,18,26,32,32,30,27,27,28,24,16,16,16,8,3,0,0
   48063-Mendexa,20,22,19,18,23,20,13,35,41,49,35,32,30,24,15,12,17,9,4,0,0
   48064-Meñaka,51,34,21,22,25,25,50,73,69,55,47,57,58,29,32,27,29,17,4,1,0
   48065-Ugao-Miraballes,183,168,173,158,204,236,340,343,316,343,310,284,255,195,149,174,126,81,18,3,0
   48066-Morga,10,19,7,16,13,21,26,33,35,42,41,28,25,25,20,12,19,12,5,1,1
   48067-Muxika,86,65,52,50,52,53,120,141,119,128,118,71,93,65,71,78,70,37,7,1,0
   48068-Mundaka,89,67,64,69,78,110,148,147,144,142,176,132,133,116,85,89,75,50,19,6,0
   48069-Mungia,1013,958,872,770,814,1029,1470,1581,1392,1424,1230,973,919,652,494,503,351,193,84,14,1
   48070-Aulesti,27,36,32,20,22,39,36,48,59,53,51,44,27,39,42,46,35,20,5,0,0
   48071-Muskiz,392,358,272,297,352,458,693,689,642,627,578,414,385,286,277,266,238,127,48,7,2
   48072-Otxandio,67,57,48,34,53,79,133,131,84,94,79,81,71,60,57,64,60,22,1,0,2
   48073-Ondarroa,294,373,345,381,426,508,563,656,741,743,672,607,535,544,434,478,322,168,54,7,1
   48074-Urduña/Orduña,203,187,162,149,195,259,394,365,338,352,312,277,250,187,164,183,143,91,41,7,0
   48075-Orozko,132,149,145,74,66,125,161,227,254,232,164,120,127,105,91,118,95,47,16,3,0
   48076-Sukarrieta,11,16,11,12,10,9,23,20,38,20,25,31,30,31,9,27,15,8,7,1,0
   48077-Plentzia,221,238,202,195,202,210,305,371,382,405,384,270,235,186,130,137,130,83,21,3,1
   48078-Portugalete,1828,1817,1690,1637,2182,2788,3478,3670,3665,3716,3733,3131,3273,2960,2514,2571,1831,903,282,61,12
   48079-Errigoiti,26,16,17,18,11,24,44,53,32,56,54,33,39,24,30,35,25,14,5,1,0
   48080-Valle de Trápaga-Trapagaran,537,577,481,444,476,715,917,1087,1023,1031,922,848,768,691,498,547,394,194,63,10,1
   48081-Lezama,132,136,123,103,125,149,187,227,198,228,206,162,134,102,97,89,70,36,11,2,0
   48082-Santurtzi,2085,2029,1735,1792,2050,2849,3737,4056,3895,3698,3641,3042,2844,2515,2168,2221,1613,829,227,47,3
   48083-Ortuella,344,367,341,326,390,533,657,699,691,637,707,603,527,400,301,362,301,172,37,13,4
   48084-Sestao,1197,1089,1070,1023,1241,1693,2322,2427,2261,2311,2037,1793,1812,1760,1439,1484,1136,623,192,46,3
   48085-Sopelana,808,695,573,552,589,819,1196,1277,1145,1085,998,830,696,455,283,267,226,143,43,12,1
   48086-Sopuerta,132,97,78,81,110,146,233,229,193,220,194,178,165,114,93,112,118,60,27,7,1
   48087-Trucios-Turtzioz,15,16,16,15,26,39,46,33,45,43,43,38,39,28,19,35,23,10,7,1,0
   48088-Ubide,8,2,6,5,14,11,15,18,20,19,14,7,8,8,4,11,10,3,1,0,0
   48089-Urduliz,207,167,147,148,134,225,327,364,307,327,244,219,197,171,124,122,81,43,16,1,0
   48090-Balmaseda,354,325,260,280,350,505,633,683,561,589,538,446,448,400,302,401,270,154,66,17,1
   48091-Atxondo,69,60,56,60,101,103,94,114,88,109,122,123,103,67,51,43,31,24,7,4,0
   48092-Bedia,42,50,41,35,41,50,69,75,88,90,82,58,48,42,53,54,30,14,5,3,0
   48093-Areatza,62,80,50,44,48,72,97,97,101,88,96,69,57,53,35,50,47,22,10,1,0
   48094-Igorre,249,188,137,163,285,288,380,380,331,310,330,307,258,179,152,143,112,55,21,4,1
   48095-Zaldibar,174,133,107,104,144,199,277,275,243,227,214,209,195,166,118,106,89,40,17,1,0
   48096-Zalla,400,374,292,310,436,591,682,680,650,685,654,631,477,386,267,296,247,143,48,9,0
   48097-Zaratamo,65,81,76,81,74,78,156,145,142,151,125,100,93,58,79,85,48,15,11,3,0
   48901-Derio,322,285,207,189,211,296,435,595,523,408,351,256,323,316,292,195,144,74,28,7,1
   48902-Erandio,1306,1090,859,890,1080,1547,2177,2474,2118,1724,1543,1530,1491,1337,993,928,651,363,116,39,6
   48903-Loiu,114,115,101,184,100,117,179,233,193,184,190,140,113,94,85,105,120,83,28,11,2
   48904-Sondika,239,256,215,187,173,217,294,360,401,433,335,250,199,188,198,253,192,93,40,9,1
   48905-Zamudio,194,151,85,101,150,184,272,342,267,228,224,231,187,150,152,148,97,54,19,12,0
   48906-Forua,45,40,41,33,47,55,69,73,74,62,94,75,72,47,36,53,34,18,10,1,0
   48907-Kortezubi,24,19,16,14,19,16,44,34,36,41,36,18,20,25,15,16,22,12,3,0,0
   48908-Murueta,13,20,17,10,19,15,19,22,37,32,31,19,12,7,12,10,7,5,1,0,0
   48909-Nabarniz,12,11,9,6,11,7,10,20,28,17,20,19,15,13,10,10,6,9,2,1,0
   48910-Iurreta,178,165,127,124,177,291,344,316,325,265,254,248,261,208,196,190,117,55,19,7,0
   48911-Ajangiz,25,26,17,14,19,30,32,27,32,44,48,34,20,24,11,25,13,13,3,1,0
   48912-Alonsotegi,149,115,89,97,100,152,281,247,226,223,184,170,211,147,113,128,99,60,25,3,1
   48913-Zierbena,52,56,50,46,77,106,126,123,137,132,113,90,76,70,65,46,43,22,8,2,0
   48914-Arratzu,20,15,11,9,14,28,23,26,30,34,31,36,22,20,16,16,19,12,5,2,0
   48915-Ziortza-Bolibar,28,8,9,17,15,15,37,33,25,33,28,36,26,24,20,18,16,18,4,0,0
,,,,,,,,,,,,,,,,,,,,,
Fuente:Instituto Nacional de Estadística,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Paseo de la Castellana, 183 - 28071 - Madrid - España Teléfono: (+34) 91 583 91 00 - Contacta:",,,,,,,,,,,,,,,,,,,,,
