Revisión del Padrón municipal 2009. Datos por municipios. ,,,,,,,,,,,,,,,,,,
  48.- Vizcaya,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Población por sexo, municipios y edad (grupos quinquenales).",,,,,,,,,,,,,,,,,,
Unidades:personas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,0-4,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y más
   48044-Getxo,3295,3501,3519,3873,4646,5760,6013,5614,5841,6265,6442,6207,5634,3938,3296,2897,2168,1861
   48045-Güeñes,338,298,238,228,285,410,580,595,562,506,410,350,337,247,328,300,206,131
   48046-Gernika-Lumo,773,700,653,708,880,1090,1340,1233,1260,1258,1041,1046,979,775,783,762,569,394
   48047-Gizaburuaga,10,11,8,9,12,10,15,20,18,15,11,12,8,3,15,11,3,5
   48048-Ibarrangelu,18,28,13,16,24,30,45,51,63,59,53,27,26,23,41,43,30,26
   48049-Ispaster,35,24,15,16,30,38,44,50,56,57,50,51,36,24,30,30,38,38
   48050-Izurtza,8,6,4,12,15,16,23,21,18,29,16,21,16,10,9,8,13,13
   48051-Lanestosa,6,11,8,8,18,19,17,14,19,29,26,21,14,14,17,16,19,11
   48052-Larrabetzu,116,112,65,66,90,95,187,169,170,119,148,94,92,64,65,89,80,53
   48053-Laukiz,59,68,61,38,48,58,80,96,90,98,75,72,62,56,41,44,23,13
   48054-Leioa,1606,1542,1335,1281,1593,2223,2865,2511,2518,2452,2202,2233,1927,1163,881,761,575,411
   48055-Lemoa,179,133,111,107,129,265,373,296,244,234,197,155,145,103,144,145,128,70
   48056-Lemoiz,54,52,38,40,37,52,94,92,92,97,86,43,49,43,53,42,35,29
   48057-Lekeitio,359,352,253,277,355,433,511,621,615,605,525,447,454,364,420,411,272,203
   48058-Mallabia,55,37,55,48,44,72,112,118,109,84,72,91,72,62,49,50,28,20
   48059-Mañaria,22,15,16,19,28,27,42,41,42,39,46,33,33,21,20,15,21,16
   48060-Markina-Xemein,239,211,160,198,285,408,428,380,379,390,364,345,239,202,232,196,164,127
   48061-Maruri-Jatabe,50,45,33,36,35,46,69,83,80,93,72,50,55,34,41,37,25,14
   48062-Mendata,26,22,8,16,10,23,27,27,33,30,28,27,28,22,12,19,12,12
   48063-Mendexa,25,16,17,18,17,19,21,43,48,45,31,31,31,15,15,11,22,12
   48064-Meñaka,41,29,21,21,23,32,61,64,56,53,47,51,45,25,29,35,27,18
   48065-Ugao-Miraballes,182,174,151,169,207,258,380,319,334,317,318,246,250,174,159,178,131,82
   48066-Morga,12,14,7,13,17,23,27,38,33,37,35,22,34,20,18,19,18,22
   48067-Muxika,73,56,47,43,55,72,132,137,127,124,102,72,90,67,74,96,57,49
   48068-Mundaka,78,69,72,66,89,131,147,134,156,145,159,139,129,97,95,95,58,74
   48069-Mungia,968,901,801,744,831,1128,1531,1461,1426,1329,1147,922,865,562,521,473,316,283
   48070-Aulesti,29,38,27,15,31,41,39,51,65,45,54,29,27,44,47,47,31,23
   48071-Muskiz,384,304,241,310,357,544,703,661,623,614,514,395,363,273,267,279,221,163
   48072-Otxandio,64,53,38,44,49,89,132,103,99,79,77,84,68,50,64,73,40,26
   48073-Ondarroa,315,344,358,372,486,522,605,699,744,735,671,574,553,520,471,448,280,224
   48074-Urduña/Orduña,197,170,151,158,208,325,399,317,355,338,313,259,213,190,184,178,143,122
   48075-Orozko,132,151,114,69,76,122,199,233,270,198,136,120,128,95,116,103,97,50
   48076-Sukarrieta,13,10,9,11,8,18,21,22,34,26,19,36,34,22,17,20,17,13
   48077-Plentzia,216,218,189,209,202,241,343,375,390,411,340,270,224,167,141,158,110,98
   48078-Portugalete,1852,1737,1647,1753,2351,3031,3705,3722,3765,3768,3521,3211,3339,2774,2688,2464,1641,1136
   48079-Errigoiti,18,10,19,13,13,27,41,34,46,49,41,38,38,16,36,34,22,18
   48080-Valle de Trápaga-Trapagaran,572,520,451,439,583,807,1060,1080,1052,978,904,807,800,591,552,542,368,247
   48081-Lezama,131,130,115,109,135,149,213,197,221,212,189,154,121,95,95,94,64,41
   48082-Santurtzi,2080,1900,1655,1836,2339,3097,4030,3986,3780,3773,3480,2888,2867,2319,2326,2210,1490,922
   48083-Ortuella,371,362,321,340,454,611,673,741,680,677,652,570,519,348,323,396,293,189
   48084-Sestao,1172,1093,1028,1065,1397,1976,2474,2367,2415,2210,1921,1773,1989,1643,1549,1506,1120,778
   48085-Sopelana,776,623,579,511,643,860,1228,1256,1130,1077,941,818,606,369,292,267,225,158
   48086-Sopuerta,119,77,78,86,118,166,207,218,197,221,168,179,149,105,108,128,95,85
   48087-Trucios-Turtzioz,14,18,12,19,33,40,41,28,57,36,38,43,32,18,30,35,18,20
   48088-Ubide,4,3,5,5,8,11,13,17,18,17,10,7,8,5,5,11,9,5
   48089-Urduliz,183,145,144,147,133,204,327,311,314,274,239,203,193,154,117,116,71,63
   48090-Balmaseda,326,286,248,294,347,475,592,618,562,579,485,446,439,339,373,374,262,225
   48091-Atxondo,71,59,49,74,107,114,113,108,92,126,112,133,93,49,51,39,31,33
   48092-Bedia,47,48,29,50,33,58,76,72,89,95,60,54,49,39,60,48,36,19
   48093-Areatza,61,66,50,36,58,75,98,85,98,91,90,57,56,47,39,48,44,32
   48094-Igorre,198,175,131,225,259,333,405,350,318,310,361,294,224,176,154,136,110,79
   48095-Zaldibar,139,121,109,100,157,244,296,268,207,228,225,203,195,157,116,111,82,56
   48096-Zalla,404,301,287,336,475,648,691,656,657,696,668,561,460,312,289,309,248,188
   48097-Zaratamo,74,95,71,87,65,107,158,163,163,138,123,98,83,66,96,75,48,25
   48901-Derio,301,258,184,183,210,324,509,553,467,371,337,256,344,316,256,200,131,107
   48902-Erandio,1252,1019,819,912,1200,1797,2518,2302,2010,1627,1581,1522,1571,1157,1011,903,607,454
   48903-Loiu,113,111,92,189,98,122,176,187,172,177,173,128,126,85,97,97,92,55
   48904-Sondika,253,228,206,161,198,245,326,415,412,400,295,223,196,197,231,259,171,120
   48905-Zamudio,203,120,82,102,158,216,302,332,223,222,218,210,191,154,154,142,102,72
   48906-Forua,45,37,39,43,54,70,78,87,67,73,98,61,63,44,52,49,27,29
   48907-Kortezubi,19,20,15,14,17,24,46,30,39,39,24,13,28,17,13,21,19,14
   48908-Murueta,17,18,18,11,17,11,20,23,40,33,25,15,11,12,13,11,7,8
   48909-Nabarniz,10,10,9,9,5,9,16,23,22,13,21,20,17,8,8,10,10,11
   48910-Iurreta,164,134,125,125,214,318,350,335,281,265,247,269,245,199,210,179,95,82
   48911-Ajangiz,23,23,15,19,19,29,25,28,34,52,45,23,18,22,17,22,14,17
   48912-Alonsotegi,149,100,82,101,97,190,303,253,212,220,186,183,197,120,134,129,95,84
   48913-Zierbena,45,46,52,40,80,125,113,113,134,120,105,77,71,69,69,47,39,37
   48914-Arratzu,15,8,15,7,19,32,22,20,38,25,36,27,24,12,20,21,20,14
   48915-Ziortza-Bolibar,17,5,12,18,12,21,42,26,35,32,24,34,23,24,18,14,26,13
,,,,,,,,,,,,,,,,,,
Fuente:Instituto Nacional de Estadística,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Paseo de la Castellana, 183 - 28071 - Madrid - España Teléfono: (+34) 91 583 91 00 - Contacta:",,,,,,,,,,,,,,,,,,
