Revisión del Padrón municipal 2009. Datos por municipios. ,,,,,,,,,,,,,,,,,,
  48.- Vizcaya,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Población por sexo, municipios y edad (grupos quinquenales).",,,,,,,,,,,,,,,,,,
Unidades:personas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,0-4,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y más
Ambos sexos,,,,,,,,,,,,,,,,,,
   48001-Abadiño,433,328,252,304,392,570,721,665,565,534,538,491,472,306,249,191,142,107
   48002-Abanto y Ciérvana-Abanto Zierbena,492,471,387,417,471,625,779,911,937,842,743,585,474,307,357,360,279,210
   48003-Amorebieta-Etxano,913,835,720,721,925,1214,1650,1553,1533,1393,1202,1093,1070,771,732,679,498,340
   48004-Amoroto,19,22,23,13,23,24,21,27,28,50,31,16,28,8,24,18,20,13
   48005-Arakaldo,6,6,4,0,0,4,8,13,8,9,2,3,5,3,11,6,3,4
   48006-Arantzazu,13,14,6,8,14,25,28,20,29,17,26,26,18,10,15,15,12,9
   48007-Munitibar-Arbatzegi Gerrikaitz,11,18,18,17,13,18,27,33,41,43,31,33,10,17,16,32,22,13
   48008-Artzentales,19,31,29,35,32,30,46,47,52,69,65,46,49,36,35,41,28,22
   48009-Arrankudiaga,50,45,32,30,29,45,71,94,82,79,72,56,52,32,44,37,33,26
   48010-Arrieta,28,26,28,15,11,21,40,46,58,56,39,41,20,13,34,26,21,28
   48011-Arrigorriaga,763,594,611,598,631,768,1069,1150,1241,1155,946,674,516,402,379,438,313,187
   48012-Bakio,140,93,76,77,95,160,233,237,196,191,161,154,128,102,94,88,47,41
   48013-Barakaldo,4162,3466,3025,3459,4823,7161,9258,8025,7646,7389,7160,6479,5835,4514,4912,5123,3653,2370
   48014-Barrika,73,72,62,50,59,87,129,152,93,123,113,80,95,51,49,53,46,62
   48015-Basauri,1642,1674,1416,1437,1992,2872,3359,3436,3513,3190,2969,2850,2890,2497,2428,2225,1357,910
   48016-Berango,477,402,246,253,313,466,622,704,546,519,463,417,359,248,201,171,111,70
   48017-Bermeo,765,790,592,672,853,1155,1356,1383,1354,1311,1116,1117,1038,797,821,765,612,440
   48018-Berriatua,87,47,27,37,70,145,141,132,88,72,79,83,82,41,61,50,35,32
   48019-Berriz,335,212,177,170,244,357,470,513,417,316,328,277,267,199,195,186,129,96
   48020-Bilbao,14900,13889,12917,13980,17535,23458,28102,27886,28921,28836,25410,21514,20819,17084,18091,18376,12957,10185
   48021-Busturia,74,75,49,43,68,114,153,162,142,105,129,136,111,89,79,76,72,69
   48022-Karrantza Harana/Valle de Carranza,88,90,90,106,144,168,177,199,215,238,216,199,191,160,149,155,120,105
   48023-Artea,45,28,26,20,35,45,53,83,64,60,56,62,42,26,25,28,28,25
   48024-Zeanuri,65,68,50,41,53,74,101,125,120,101,101,87,75,49,44,70,49,57
   48025-Zeberio,43,53,47,35,32,53,78,87,104,103,70,59,51,41,48,63,43,44
   48026-Dima,65,60,62,48,42,90,100,107,107,136,86,80,57,35,54,62,63,51
   48027-Durango,1542,1496,1273,1163,1558,1864,2423,2490,2547,2396,1878,1615,1420,1154,1065,1029,777,539
   48028-Ea,35,30,22,30,41,42,55,73,62,71,93,67,58,49,65,41,37,34
   48029-Etxebarri,667,465,297,323,445,727,1137,1117,799,625,509,502,539,309,276,222,128,84
   48030-Etxebarria,35,32,52,41,43,67,54,53,63,69,75,58,36,43,36,35,28,11
   48031-Elantxobe,13,11,6,12,25,24,33,26,27,31,41,34,33,24,24,31,19,27
   48032-Elorrio,360,346,273,272,385,453,483,555,615,574,544,469,435,345,376,327,227,188
   48033-Ereño,8,8,8,7,11,13,19,17,18,18,15,26,20,15,13,14,11,17
   48034-Ermua,666,713,622,644,875,1175,1297,1362,1325,1199,1198,1109,1151,966,817,598,333,202
   48035-Fruiz,26,22,11,10,14,21,44,40,35,35,30,33,18,14,19,28,12,11
   48036-Galdakao,1203,1268,1275,1306,1678,2003,2289,2204,2399,2641,2496,2076,1763,1204,1142,1082,725,472
   48037-Galdames,30,35,15,27,30,39,61,69,80,86,61,60,62,38,36,41,41,26
   48038-Gamiz-Fika,44,62,78,58,68,60,66,91,126,139,126,84,81,44,53,64,47,27
   48039-Garai,15,21,12,8,12,21,21,33,33,28,26,19,16,12,17,10,7,7
   48040-Gatika,104,90,65,48,74,93,128,165,122,119,122,106,94,52,55,53,44,25
   48041-Gautegiz Arteaga,26,42,41,33,42,49,65,63,78,82,80,67,43,41,36,45,24,18
   48042-Gordexola,78,70,72,61,75,96,123,171,162,154,111,95,89,80,83,86,80,55
   48043-Gorliz,322,295,251,222,255,284,446,537,501,492,417,332,271,205,210,182,92,86
