Revisión del Padrón municipal 2008. Datos por municipios. ,,,,,,,,,,,,,,,,,,
  48.- Vizcaya,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Población por sexo, municipios y edad (grupos quinquenales).",,,,,,,,,,,,,,,,,,
Unidades:personas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,0-4,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y más
   48037-Galdames,31,27,15,27,37,33,69,61,73,82,50,69,47,42,35,45,39,31
   48038-Gamiz-Fika,37,70,69,54,69,65,61,86,125,138,114,84,76,40,62,63,42,28
   48039-Garai,19,16,13,8,16,19,23,39,27,36,20,19,14,13,14,12,6,7
   48040-Gatika,98,81,56,50,71,105,148,140,118,127,103,105,89,50,62,49,41,27
   48041-Gautegiz Arteaga,28,41,40,32,41,49,69,60,82,80,76,65,47,36,40,46,25,13
   48042-Gordexola,85,69,61,57,78,104,120,168,165,137,103,100,83,79,82,84,79,50
   48043-Gorliz,298,283,233,231,250,294,459,513,516,492,406,302,257,205,212,170,88,78
   48044-Getxo,3380,3470,3611,4037,4738,6123,6076,5619,5918,6439,6389,6304,5467,3609,3354,2817,2178,1731
   48045-Güeñes,337,253,237,220,303,437,591,590,556,487,394,359,308,227,378,275,190,133
   48046-Gernika-Lumo,771,685,670,690,904,1172,1334,1237,1270,1243,1020,1053,952,724,861,718,555,396
   48047-Gizaburuaga,9,9,4,9,11,11,14,22,15,12,9,15,4,5,14,10,6,3
   48048-Ibarrangelu,22,20,15,17,21,37,39,54,70,44,61,23,23,27,44,43,25,26
   48049-Ispaster,41,20,10,18,33,42,45,48,56,56,45,49,38,21,35,39,32,34
   48050-Izurtza,9,5,8,15,13,20,19,22,14,26,20,22,10,10,10,9,14,14
   48051-Lanestosa,5,11,7,7,19,19,15,17,20,27,30,19,11,16,20,14,20,9
   48052-Larrabetzu,122,99,60,65,92,103,182,184,136,130,138,84,83,60,82,94,79,47
   48053-Laukiz,51,69,52,35,56,57,84,91,90,88,77,76,61,49,42,45,17,16
   48054-Leioa,1564,1510,1321,1293,1649,2375,2799,2461,2491,2419,2210,2257,1774,1062,903,720,530,410
   48055-Lemoa,176,121,102,121,130,275,368,301,223,226,190,153,127,118,154,137,129,63
   48056-Lemoiz,53,46,36,46,35,62,96,84,93,102,81,44,47,47,51,43,40,25
   48057-Lekeitio,372,322,262,276,345,468,516,632,624,602,509,436,474,341,465,379,268,199
   48058-Mallabia,46,38,54,43,40,92,116,114,112,70,79,85,88,44,54,52,25,19
   48059-Mañaria,15,14,15,23,22,23,40,43,37,40,52,28,29,20,16,21,19,17
   48060-Markina-Xemein,225,181,165,206,297,398,405,357,359,393,347,328,235,191,236,195,167,119
   48061-Maruri-Jatabe,51,35,36,40,27,50,73,80,74,84,64,48,49,30,40,44,18,12
   48062-Mendata,24,19,8,12,10,25,21,36,31,29,23,28,27,18,17,22,9,12
   48063-Mendexa,19,15,17,23,21,12,17,46,47,45,26,25,30,12,14,15,19,11
   48064-Meñaka,43,17,20,21,27,41,66,58,61,44,53,47,40,20,30,36,21,19
   48065-Ugao-Miraballes,177,165,150,181,214,278,377,299,350,316,304,254,233,155,187,167,119,88
   48066-Morga,11,14,7,17,18,15,33,36,31,34,30,28,29,18,19,19,18,22
   48067-Muxika,76,47,41,47,51,76,133,125,136,123,84,80,88,61,82,90,55,53
   48068-Mundaka,73,63,62,60,86,128,143,125,159,141,160,133,131,79,90,91,74,65
   48069-Mungia,930,889,777,704,844,1176,1492,1386,1445,1259,1087,928,812,531,558,449,320,261
   48070-Aulesti,31,36,24,16,36,37,40,49,63,47,54,26,30,47,49,44,30,21
   48071-Muskiz,358,299,223,324,377,558,672,653,594,600,490,408,346,257,290,281,204,155
   48072-Otxandio,58,55,30,44,56,101,122,97,93,88,71,81,66,51,69,71,47,20
   48073-Ondarroa,332,333,366,401,504,531,612,698,786,698,682,555,593,479,505,443,271,198
   48074-Urduña-Orduña,194,162,152,157,221,342,373,332,364,305,314,263,196,177,206,181,147,111
   48075-Orozko,135,157,95,64,80,140,205,229,272,180,122,127,122,92,121,105,88,48
   48076-Sukarrieta,11,8,11,9,8,22,23,27,28,25,23,33,32,15,22,20,17,11
   48077-Plentzia,224,220,192,186,197,212,315,373,368,406,311,263,228,146,142,167,113,83
   48078-Portugalete,1806,1687,1613,1844,2448,3253,3794,3717,3768,3787,3419,3317,3296,2610,2864,2395,1547,1040
   48079-Errigoiti,17,9,21,10,11,35,42,32,54,45,40,38,32,18,44,31,19,20
   48080-Valle de Trápaga-Trapagaran,550,499,439,462,617,881,1060,1100,1050,950,909,814,792,558,611,531,344,235
   48081-Lezama,138,127,109,113,127,175,202,197,220,211,182,144,112,98,90,92,71,35
   48082-Santurtzi,2102,1803,1683,1865,2462,3258,4094,3913,3855,3749,3369,2932,2815,2229,2460,2151,1413,851
   48083-Ortuella,351,373,301,353,477,640,697,736,659,688,639,562,491,309,363,414,276,175
   48084-Sestao,1189,1064,1019,1108,1426,2157,2485,2359,2401,2225,1876,1847,1976,1539,1634,1554,1039,740
   48085-Sopelana,750,626,568,528,657,911,1238,1237,1107,1106,890,785,600,322,301,264,218,134
   48086-Sopuerta,99,80,83,84,113,173,187,197,197,220,145,190,141,97,119,134,87,81
   48087-Trucios-Turtzioz,19,19,14,22,33,41,34,39,56,34,39,46,30,18,33,34,17,18
   48088-Ubide,3,6,5,4,7,8,15,14,18,18,8,7,9,4,6,12,11,3
   48089-Urduliz,168,137,154,135,133,234,332,300,318,257,232,201,197,132,132,106,76,56
   48090-Balmaseda,314,274,241,314,357,488,586,580,569,560,459,454,429,313,409,363,253,211
   48091-Atxondo,67,56,56,89,106,110,108,108,98,129,119,126,78,46,56,39,35,30
   48092-Bedia,59,42,33,46,32,69,76,79,89,94,54,59,48,41,59,48,35,19
   48093-Areatza,60,64,34,43,57,76,94,93,95,87,85,59,50,43,49,52,39,30
   48094-Igorre,190,159,140,242,278,333,380,336,324,300,343,295,213,161,150,140,102,76
   48095-Zaldibar,143,106,112,102,163,226,279,249,206,226,221,200,186,142,129,106,79,56
   48096-Zalla,394,295,288,363,500,667,699,670,668,656,672,523,456,291,322,299,235,180
   48097-Zaratamo,83,81,75,80,69,132,147,159,169,139,120,84,87,74,93,73,49,27
   48901-Derio,300,233,165,184,225,353,550,519,444,372,319,279,347,304,249,198,121,91
   48902-Erandio,1223,895,821,930,1261,1922,2509,2276,1886,1605,1596,1525,1588,1042,1045,891,559,413
   48903-Loiu,104,107,97,157,97,124,153,156,172,173,156,115,118,84,101,97,86,50
   48904-Sondika,246,218,191,159,189,252,346,424,422,372,285,227,191,208,240,249,157,108
   48905-Zamudio,203,98,94,113,166,218,326,328,221,224,221,221,175,161,157,132,98,71
   48906-Forua,37,36,41,38,58,67,72,81,63,79,91,73,54,40,59,47,22,28
   48907-Kortezubi,16,19,14,17,16,30,40,27,42,37,21,18,28,13,16,20,20,15
   48908-Murueta,16,15,19,12,18,11,20,28,37,34,20,15,10,11,15,13,6,9
   48909-Nabarniz,16,9,6,10,4,9,17,23,19,14,19,19,14,7,9,9,8,13
   48910-Iurreta,157,133,123,143,241,313,331,331,291,267,245,284,236,197,227,180,73,82
   48911-Ajangiz,22,23,13,21,25,23,25,27,38,54,42,20,23,17,21,20,15,16
   48912-Alonsotegi,140,93,80,106,115,202,292,272,214,203,185,187,187,113,148,123,96,75
   48913-Zierbena,49,48,41,45,83,112,115,117,123,120,108,77,63,77,54,52,37,30
   48914-Arratzu,11,10,10,7,22,30,16,18,37,25,43,26,18,12,21,22,17,13
   48915-Ziortza-Bolibar,16,4,10,17,13,26,44,28,26,36,24,31,21,25,18,19,26,11
,,,,,,,,,,,,,,,,,,
Fuente:Instituto Nacional de Estadística,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Paseo de la Castellana, 183 - 28071 - Madrid - España Teléfono: (+34) 91 583 91 00 - Contacta:",,,,,,,,,,,,,,,,,,
