Revisión del Padrón municipal 2008. Datos por municipios. ,,,,,,,,,,,,,,,,,,
  48.- Vizcaya,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Población por sexo, municipios y edad (grupos quinquenales).",,,,,,,,,,,,,,,,,,
Unidades:personas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,0-4,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y más
Ambos sexos,,,,,,,,,,,,,,,,,,
   48001-Abadiño,404,300,248,318,419,613,743,645,544,542,538,489,460,266,259,179,123,107
   48002-Abanto y Ciérvana-Abanto Zierbena,480,465,367,409,503,677,815,903,946,841,683,578,426,306,377,359,286,187
   48003-Amorebieta-Etxano,905,776,711,733,954,1300,1616,1538,1503,1338,1160,1115,1009,720,780,681,470,317
   48004-Amoroto,20,23,20,15,22,24,23,26,34,47,27,23,17,15,17,21,19,11
   48005-Arakaldo,5,5,3,0,0,5,9,12,8,8,3,2,6,7,8,7,3,2
   48006-Arantzazu,17,12,8,13,10,26,22,21,30,23,27,17,19,15,13,12,14,8
   48007-Munitibar-Arbatzegi Gerrikaitz,10,14,16,16,12,21,26,29,38,38,32,26,12,20,15,37,22,11
   48008-Artzentales,25,28,26,28,37,30,45,48,53,78,61,46,36,36,36,45,29,23
   48009-Arrankudiaga,46,40,36,27,30,47,73,92,66,85,69,46,50,35,45,41,29,28
   48010-Arrieta,28,25,23,16,12,20,40,44,60,54,37,37,21,15,36,33,21,29
   48011-Arrigorriaga,732,595,602,595,650,838,1097,1177,1245,1129,912,636,497,373,422,429,287,183
   48012-Bakio,132,89,80,67,100,167,210,234,190,202,157,142,132,93,105,75,44,39
   48013-Barakaldo,3971,3303,2976,3536,5042,7518,8968,7781,7562,7242,7021,6505,5637,4346,5253,5055,3440,2172
   48014-Barrika,74,64,58,50,59,85,138,138,93,120,115,81,85,46,51,55,45,60
   48015-Basauri,1723,1608,1367,1525,2183,3065,3391,3538,3493,3139,2944,2918,2866,2431,2525,2174,1257,819
   48016-Berango,461,372,222,275,315,487,648,642,519,533,448,405,352,216,209,161,108,67
   48017-Bermeo,777,730,608,660,949,1200,1376,1346,1362,1301,1091,1136,992,738,884,788,589,413
   48018-Berriatua,84,39,22,41,75,147,141,123,74,80,77,94,65,39,67,49,34,31
   48019-Berriz,332,183,157,187,261,371,513,479,393,305,328,284,244,205,196,184,113,94
   48020-Bilbao,14486,13632,12856,14042,18016,24207,27949,27848,29329,28437,24501,21492,20533,16449,19426,18111,12363,9663
   48021-Busturia,76,59,44,41,79,128,158,138,144,101,128,134,108,75,86,80,69,68
   48022-Karrantza Harana/Valle de Carranza,90,85,90,117,147,175,157,208,206,248,207,209,182,158,168,162,128,94
   48023-Artea,42,30,24,21,35,42,58,75,60,51,58,67,32,24,26,28,33,21
   48024-Zeanuri,59,62,44,39,59,78,108,130,107,94,108,82,71,47,57,62,63,47
   48025-Zeberio,45,53,47,35,30,68,84,84,109,103,61,60,42,47,50,66,44,44
   48026-Dima,61,62,53,41,51,81,101,92,118,114,84,78,55,41,62,64,61,47
   48027-Durango,1532,1428,1229,1166,1570,1984,2405,2490,2531,2328,1814,1550,1420,1063,1112,1009,726,504
   48028-Ea,32,22,26,34,35,45,66,60,67,71,96,58,54,51,62,43,35,35
   48029-Etxebarri,563,397,293,323,423,711,1052,988,734,608,479,508,482,281,279,212,121,82
   48030-Etxebarria,34,37,52,45,36,67,46,61,69,63,80,51,41,36,45,33,24,12
   48031-Elantxobe,11,8,6,13,23,31,30,22,24,39,36,34,35,22,27,33,18,26
   48032-Elorrio,338,341,261,285,385,470,473,571,610,592,518,470,432,330,391,292,235,171
   48033-Ereño,6,6,8,9,11,14,20,15,17,21,17,21,18,15,14,14,15,12
   48034-Ermua,666,677,623,683,923,1217,1331,1343,1308,1227,1176,1158,1160,902,817,561,311,194
   48035-Fruiz,26,15,11,10,15,26,42,35,36,31,26,29,18,15,25,26,11,11
   48036-Galdakao,1227,1251,1287,1368,1750,2088,2252,2167,2552,2672,2367,2121,1623,1129,1199,1056,667,458
